id,module,status,durationMs,title,file,error
05d90090-dff0-488c-bfe2-4ec966fb4006,Unknown,failed,95429,stt/podcast.spec.js > STT module > prerecorded podcast renders transcript lines in order,stt/podcast.spec.js,"TimeoutError: locator.waitFor: Timeout 90000ms exceeded.
Call log:
[2m  - waiting for getByText('Speaker 1').first() to be visible[22m
"
05d90090-dff0-488c-bfe2-4ec966fb4006,Unknown,timedOut,90232,stt/prerecorded.spec.js > STT module > prerecorded customer support call renders transcript,stt/prerecorded.spec.js,[31mTest timeout of 90000ms exceeded.[39m
05d90090-dff0-488c-bfe2-4ec966fb4006,Unknown,passed,7487,stt/upload.spec.js > STT module > uploaded audio renders transcript and allows playback,stt/upload.spec.js,
